Mood,Dua (Arabic),Dua Translation,Dua Reference
disapproval,اللهم أرِنا الحقَّ حقًّا وارزقنا اتِّباعَه، وأرِنا الباطلَ باطلًا وارزقنا اجتنابَه,"O Allah! Show us truth as truth- grant us adherence to it- show us falsehood as falsehood and grant us the ability to avoid it" , "Sunan Ibn Majah; Hadith 3976 – Authentic by Al-Albani"
disgust, اللهم إني أعوذ بك من الخبث والخبائث, "O Allah! I seek refuge in You from the male and female devils (evil and impure things)", "Sahih al-Bukhari Hadith 142 : Sahih Muslim Hadith 375"
curiosity, رَّبِّ زِدْنِي عِلْمًا, "My Lord! increase me in knowledge", "Quran : Surah Taha 20:114" 
annoyance, حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ, "Sufficient for us is Allah and He is the best Disposer of affairs", "Quran : Surah Aal-e-Imran 3:173"
nervousness, اللهم إني أعوذ بك من الهم والحزن، والعجز والكسل، والجبن والبخل، وغلبة الدين وقهر الرجال, "O Allah! I seek refuge in You from worry and sorrow from weakness and laziness from cowardice and miserliness and from being overwhelmed by debt and overpowered by others", "Sahih al-Bukhari Hadith 6369"
boredom, اللهم إني أعوذ بك من العجز والكسل, "O Allah! I seek refuge in You from incapacity and laziness", "Sahih Muslim Hadith 2706"
calmness, حَسْبِيَ اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ ۚ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ, "Allah is sufficient for me; there is no deity except Him. I have placed my trust in Him and He is the Lord of the Mighty Throne", "Surah At-Tawbah 9:129"
doubt, اللهم إني أعوذ بك من الشك والريب، وأسألك يقينًا صادقًا, "O Allah! I seek refuge in You from doubt and uncertainty and I ask You for true conviction", "Inspired by general prophetic supplications for certainty and clarity" 
desire, اللهم إني أسألك حبك، وحب من يحبك، وحب العمل الذي يقربني إلى حبك, "O Allah! I ask You for Your love- the love of those who love You and the love of deeds that bring me closer to Your love", "Sunan At-Tirmidhi Hadith 3490 – Hasan by Al-Albani"
disappointment, اللهم لا سهل إلا ما جعلته سهلا، وأنت تجعل الحزن إذا شئت سهلا, "O Allah! there is no ease except what You make easy and if You will You can make hardship easy", "Sahih Ibn Hibban Hadith 974"
grief, لَا إِلَٰهَ إِلَّا أَنتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الظَّالِمِينَ, "There is no deity except You; exalted are You. Indeed I have been of the wrongdoers", "Surah Al-Anbiya 21:87" 
excitement, وَقُولُوا حِطَّةٌ نَغْفِرْ لَكُمْ خَطَايَاكُمْ وَسَنَزِيدُ الْمُحْسِنِينَ, "And say: 'Grant us relief!' We will forgive your sins and increase the reward for those who do good", "Surah Al-Baqarah 2:58" 
pride, اللهم إني أعوذ بك من الكبر والعجب والرياء والسمعة, "O Allah! I seek refuge in You from arrogance self-admiration showing off and seeking fame", "Inspired by various prophetic supplications related to humility such as those in Sahih Muslim 2720 and Sunan Abu Dawood 5090"
dispair, اللهم إني أعوذ بك من الهم والحزن، والعجز والكسل، والجبن والبخل، وغلبة الدين وقهر الرجال, "O Allah! I seek refuge in You from worry and grief from weakness and laziness from cowardice and miserliness and from being overwhelmed by debt and overpowered by others", "Sahih al-Bukhari Hadith 6369"
frustration, رَبِّ اشْرَحْ لِي صَدْرِي وَيَسِّرْ لِي أَمْرِي, "My Lord! expand for me my chest and ease my task for me", "Surah Taha  20:25 -26"
trust, حَسْبِيَ اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ ۚ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ, "Allah is sufficient for me; there is no deity except Him. I have placed my trust in Him and He is the Lord of the Mighty Throne", "Surah At-Tawbah 9:129"
